objective_id,objective_name,req_level,category,notes
Q80-1,Software product assurance plan defined,required,planning,§5.1
Q80-2,Software criticality assessment,required,criticality,§5.2
Q80-3,Software requirements verification,required,verification,§5.3
Q80-4,Software design verification,required,verification,§5.4
Q80-5,Software code verification,required,verification,§5.5
Q80-6,Software integration verification,required,verification,§5.6
Q80-7,Software system testing,required,testing,§5.7
Q80-8,Software acceptance and delivery,required,delivery,§5.8
Q80-9,Software configuration identification,required,config,§5.9
Q80-10,Software configuration control,required,config,§5.10
Q80-11,Software configuration status accounting,required,config,§5.11
Q80-12,Software configuration verification,required,config,§5.12
Q80-13,Software nonconformance control,required,quality,§5.13
Q80-14,Software corrective action,required,quality,§5.14
Q80-15,Software quality records,required,quality,§5.15
Q80-16,Software reliability assessment,conditional,reliability,§5.16
Q80-17,Software maintainability assessment,conditional,maintainability,§5.17
Q80-18,Reused software product assurance,conditional,reuse,§5.18
Q80-19,Off-the-shelf software product assurance,conditional,ots,§5.19
Q80-20,Open source software product assurance,conditional,oss,§5.20
