sil_level,technique,required,recommended,notes
SIL 4,Formal methods,required,recommended,"Highest integrity; formal specification and verification expected"
SIL 4,Semaphore execution,required,recommended,"All code paths must be analyzed"
SIL 4,Static analysis,required,recommended,"Including data flow and control flow analysis"
SIL 4,Dynamic analysis and testing,required,recommended,"Boundary value and equivalence class testing"
SIL 4,Failure mode and effect analysis,required,recommended,"Systematic FMEA for all components"
SIL 4,Safe state recovery,required,recommended,"System must transition to safe state on failure"
SIL 4,Independent verification,required,recommended,"Third-party or independent team verification"
SIL 4,Proven design patterns,required,recommended,"Use established and verified design patterns only"
SIL 4,Programmed proven in use,recommended,optional,"May supplement but not replace formal verification"
SIL 3,Semaphore execution,required,recommended,"All code paths analyzed; less formal than SIL 4"
SIL 3,Static analysis,required,recommended,"Data flow and control flow analysis required"
SIL 3,Dynamic analysis and testing,required,recommended,"Comprehensive test coverage required"
SIL 3,Failure mode and effect analysis,required,recommended,"FMEA for safety-critical components"
SIL 3,Safe state recovery,required,recommended,"Safe state mechanism required for all safety functions"
SIL 3,Formal methods,recommended,optional,"Formal methods beneficial but not mandatory"
SIL 3,Modular approach,required,recommended,"Structured design with well-defined interfaces"
SIL 3,Code reviews,required,recommended,"Systematic code reviews by qualified reviewers"
SIL 3,Independent verification,required,recommended,"Independent team verification of safety functions"
SIL 2,Structured methodology,required,recommended,"Follow defined development process"
SIL 2,Static analysis,recommended,optional,"Static analysis beneficial for code quality"
SIL 2,Dynamic analysis and testing,required,recommended,"Functional testing required"
SIL 2,Code reviews,recommended,required,"Peer reviews recommended for all safety code"
SIL 2,Safe state recovery,recommended,required,"Safe state mechanism recommended"
SIL 2,Modular approach,recommended,required,"Structured design recommended"
SIL 2,Failure mode and effect analysis,recommended,optional,"FMEA recommended for critical paths"
SIL 2,Formal methods,optional,optional,"Not typically required at SIL 2"
SIL 1,Structured methodology,recommended,required,"Basic structured development process"
SIL 1,Code reviews,recommended,optional,"Peer reviews recommended"
SIL 1,Dynamic analysis and testing,recommended,required,"Basic functional testing"
SIL 1,Static analysis,optional,optional,"Optional but beneficial"
SIL 1,Safe state recovery,recommended,optional,"Basic safe state handling recommended"
SIL 1,Failure mode and effect analysis,optional,optional,"Not typically required at SIL 1"
