objective_id,objective_name,req_level,category,notes
E40-1,Software development process defined,required,process,§5.1.1
E40-2,Software requirements analysis,required,requirements,§5.1.2
E40-3,Software architectural design,required,design,§5.1.3
E40-4,Software detailed design,required,design,§5.1.4
E40-5,Software coding and unit testing,required,implementation,§5.1.5
E40-6,Software integration and integration testing,required,integration,§5.1.6
E40-7,Software system testing,required,verification,§5.1.7
E40-8,Software verification,required,verification,§5.2
E40-9,Software validation,required,validation,§5.3
E40-10,Software transfer and delivery,required,delivery,§5.4
E40-11,Software configuration management,required,config,§5.5
E40-12,Software dependability and safety analysis,required,safety,§5.6
E40-13,Software maintenance,conditional,maintenance,§5.7
E40-14,Reuse of existing software,conditional,reuse,§5.8
E40-15,Assessment of off-the-shelf software,conditional,ots,§5.9
E40-16,Software product assurance,required,quality,Links to ECSS-Q-ST-80C
